numcol,yieldpercol,totalprod,stocks,prodvalue
100000.0,47,4700000.0,2679000.0,2444000.0
4000.0,65,260000.0,73000.0,806000.0
8000.0,33,264000.0,145000.0,372000.0
36000.0,67,2412000.0,1254000.0,3497000.0
14000.0,73,1022000.0,235000.0,736000.0
450000.0,83,37350000.0,12326000.0,23157000.0
25000.0,62,1550000.0,961000.0,3038000.0
37000.0,48,1776000.0,391000.0,2540000.0
11000.0,56,616000.0,209000.0,918000.0
4000.0,39,156000.0,12000.0,495000.0
9000.0,66,594000.0,214000.0,1129000.0
7000.0,66,462000.0,157000.0,730000.0
320000.0,75,24000000.0,8160000.0,35040000.0
92000.0,32,2944000.0,530000.0,4799000.0
8000.0,61,488000.0,137000.0,683000.0
60000.0,69,4140000.0,1863000.0,8487000.0
6000.0,76,456000.0,251000.0,720000.0
13000.0,66,858000.0,266000.0,875000.0
25000.0,38,950000.0,209000.0,1777000.0
22000.0,64,1408000.0,239000.0,2281000.0
64000.0,67,4288000.0,1887000.0,5832000.0
37000.0,103,3811000.0,610000.0,5183000.0
135000.0,68,9180000.0,2479000.0,9088000.0
16000.0,78,1248000.0,187000.0,736000.0
60000.0,84,5040000.0,3024000.0,6149000.0
50000.0,43,2150000.0,1097000.0,3032000.0
24000.0,44,1056000.0,306000.0,2693000.0
480000.0,67,32160000.0,6432000.0,44702000.0
13000.0,44,572000.0,172000.0,847000.0
9000.0,46,414000.0,104000.0,671000.0
48000.0,56,2688000.0,1102000.0,3924000.0
6000.0,56,336000.0,144000.0,403000.0
9000.0,37,333000.0,50000.0,1205000.0
120000.0,53,6360000.0,2099000.0,10367000.0
45000.0,74,3330000.0,1299000.0,4595000.0
225000.0,51,11475000.0,2410000.0,16295000.0
26000.0,30,780000.0,195000.0,1193000.0
14000.0,55,770000.0,246000.0,901000.0
160000.0,71,11360000.0,1363000.0,11246000.0
29000.0,89,2581000.0,413000.0,2787000.0
132000.0,79,10428000.0,1981000.0,9907000.0
20000.0,74,1480000.0,784000.0,1066000.0
6000.0,39,234000.0,56000.0,807000.0
80000.0,75,6000000.0,4560000.0,4080000.0
